Timestamp	Gender	Age	Nationality	Current Country of Residence	Current State of Residence	Highest Level of Education	Is your degree tech related?	Did you go through a bootcamp to learn technical skills?	Job Title	What is your currency code?	What is your current monthly base salary?	Conversion	Monthly Base Salary (MYR)	How many days of annual leave are you entitled to?	What technologies do you use for work on a regular basis?	Company Industry	What is the size of your company?	What is the size of your tech team? 	Satisfaction Level of Current Job	Years of Experience
04/08/2021 16:48:04	Female	21	Malaysian	Malaysia		Diploma	N/A	No	Front End Dev	MYR	3000		3000	11			51-200 employees	11 - 50 people	8	0
07/10/2021 21:07:18	Male	25	Malaysian	Malaysia	W.P. Kuala Lumpur	Masters Degree	Yes	No	Backend Engineer	MYR	6900		6900	15	"GoLang, Python, Javascript"	"Hospitality, Food, Leisure Travel"	201-1000 employees	11 - 50 people	8	0
26/07/2021 23:18:55	Male	19	Malaysian	Malaysia	Johor	"Pre-university (STPM, A-Levels, Matriculation, CPU, IB, etc.)"	Yes	No	Junior Full-stack Developer	MYR	1800		1800	12	"Web, Laravel, React"	"Professional Services (Law, Consulting, etc.)"	1-10 employees	2 - 10 people	7	0
27/07/2021 01:28:49	Male	24	Malaysian	Malaysia	W.P. Kuala Lumpur	Undergraduate Degree	Yes	No	Management associate	MYR	3300		3300	20	.net	Business	201-1000 employees	2 - 10 people	7	0
26/07/2021 21:49:25	Male	24	Malaysian	Malaysia	Selangor	Undergraduate Degree	Yes	No	Web Developer	MYR	3300		3300	14	"Laravel, PHP, MySQL, JavaScript, HTML, CSS, Scss"	Business	1-10 employees	2 - 10 people	7	0
06/12/2021 19:57:59	Male	22	Malaysian	Malaysia	Penang	Undergraduate Degree	Yes	No	Software Engineer	MYR	3400		3400	14	"Java, Bash, Python"	Communication	"1,001-10,000 employees"	11 - 50 people	8	0
26/07/2021 20:26:13	Male	21	Malaysian	Malaysia	Selangor	Undergraduate Degree	Yes	No	Android developer 	MYR	1500		1500	16	Android studio 	"Data Infrastructure, Telecom"	11-50 employees	2 - 10 people	1	0
27/07/2021 00:35:07	Male	23	Malaysian	Malaysia	Selangor 	Undergraduate Degree	Yes	No	Cloud Developer	MYR	3600		3600	12	"Python, AWS"	"Data Infrastructure, Telecom"	201-1000 employees	2 - 10 people	8	0
15/08/2021 17:09:20	Male	23	Malaysian	Malaysia	W.P. Kuala Lumpur	Undergraduate Degree	Yes	No	Full stack developer & Project manager	MYR	3000		3000	15	"Typescript,Javascript,React,Express"	"Data Infrastructure, Telecom"	1-10 employees	2 - 10 people	7	0
28/07/2021 17:42:48	Female	25	Malaysian	Malaysia	Selangor	Undergraduate Degree	Yes	No	Junior Software Developer	MYR	2700		2700	9	Laptop	"Data Infrastructure, Telecom"	1-10 employees	2 - 10 people	7	0
24/09/2021 10:58:00	Male	23	Malaysian	Malaysia	Perak	Undergraduate Degree	Yes	No	Network Security Engineer	MYR	3250		3250	24	"SIEM, FW, IDS, IPS"	"Data Infrastructure, Telecom"	201-1000 employees	2 - 10 people	5	0
01/09/2021 08:08:05	Male	21	Malaysian	Malaysia	Selangor	Undergraduate Degree	Yes	No	Professional Services Intern	MYR	5000		5000	1	AWS	"Data Infrastructure, Telecom"	">10,000employees"	200+ people	9	0
26/07/2021 20:26:09	Male	24	Malaysian	Malaysia	Penang	Undergraduate Degree	Yes	No	SOFTWARE ENGINEER	MYR	4000		4000	15	Java MySQL	Education	11-50 employees	2 - 10 people	6	0
30/09/2021 01:22:22	Male	25	Malaysian	Malaysia		Undergraduate Degree	Yes	No	Application Engineer	MYR	3700		3700	16	"Java, Spring"	Financial Services	"1,001-10,000 employees"	200+ people	5	0
28/10/2021 00:53:34	Male	23	Malaysian	Malaysia	Melaka	Undergraduate Degree	Yes	No	associate developer	MYR	4000		4000	20	.NET	Financial Services	">10,000employees"	2 - 10 people	10	0
26/07/2021 22:01:08	Male	24	Malaysian	Malaysia	Negeri Sembilan	Undergraduate Degree	Yes	No	Data Scientist	MYR	5500		5500	20	"Python, AWS, Docker, Apache Airflow, MLflow, DVC, Arize.ai"	Financial Services	201-1000 employees	2 - 10 people	8	0
27/07/2021 07:58:22	Male	23	Malaysian	Malaysia	W.P. Kuala Lumpur	Undergraduate Degree	Yes	Yes	Developer 	MYR	3000		3000	19	spring boot	Financial Services	"1,001-10,000 employees"	2 - 10 people	6	0
27/07/2021 10:46:43	Male	21	Malaysian	Malaysia		Undergraduate Degree	Yes	No	Industrial Intern	MYR	500		500	0	"Excel, github"	Financial Services	51-200 employees	11 - 50 people	5	0
26/07/2021 20:46:59	Male	22	Malaysian	Malaysia	W.P. Kuala Lumpur	Undergraduate Degree	Yes	No	IT Specialist	MYR	5400		5400	21	"Java, C#, .NET, Spring boot, Ms sql, Svn"	Financial Services	"1,001-10,000 employees"	2 - 10 people	9	0
27/07/2021 17:21:03	Male	22	Malaysian	Malaysia	Selangor	Undergraduate Degree	Yes	No	Junior Data Scientist	MYR	3300		3300	22	"Python, SQL"	Financial Services	">10,000employees"	11 - 50 people	6	0
26/07/2021 20:49:16	Female	25	Malaysian	Malaysia	W.P. Kuala Lumpur	Undergraduate Degree	No	Yes	Junior Software Engineer	MYR	3200		3200	20	Django	Financial Services	1-10 employees	2 - 10 people	8	0
31/07/2021 18:57:42	Female	25	Malaysian	Malaysia	W.P. Kuala Lumpur	Undergraduate Degree	No	No	RPA Developer	MYR	4300		4300	23	Robotic Process Automation	Financial Services	"1,001-10,000 employees"	2 - 10 people	5	0
